real,sim,profits,acc-profits,error
0.71536,0.71573657,0,0,4.08471e-6
0.71582,0.71573657,3.7658215e-4,3.7658215e-4,1.7421023e-6
0.71639,0.71619636,3.7634373e-4,7.529259e-4,1.7421023e-6
0.71671,0.7168279,4.3791533e-4,0.0011908412,1.7421023e-6
0.71635,0.7171411,-4.311204e-4,7.597208e-4,1.7421023e-6
0.71651,0.71679676,4.467368e-4,0.0012064576,1.7421023e-6
0.71591,0.7169539,-4.438758e-4,7.625818e-4,1.7421023e-6
0.71702,0.7162885,3.784895e-4,0.0011410713,1.7421023e-6
0.71661,0.7174826,-4.6265125e-4,6.7842007e-4,1.7421023e-6
0.71678,0.7170584,4.4840574e-4,0.0011268258,1.3541867e-6
0.71644,0.7172516,-4.7159195e-4,6.5523386e-4,1.3541867e-6
0.71595,0.71691316,-4.7314167e-4,1.8209219e-4,1.3541867e-6
0.71604,0.7163144,3.643632e-4,5.464554e-4,1.3541867e-6
0.71502,0.7165205,-4.8047304e-4,6.598234e-5,1.3541867e-6
0.71491,0.7154038,-3.837943e-4,-3.1781197e-4,1.3541867e-6
0.7147,0.715316,-4.0602684e-4,-7.238388e-4,1.3541867e-6
0.71527,0.7151047,4.0471554e-4,-3.1912327e-4,1.3541867e-6
0.71553,0.71568567,4.156828e-4,9.6559525e-5,1.3541867e-6
0.71479,0.71594566,-4.156828e-4,-3.1912327e-4,1.3541867e-6
0.71498,0.7152019,4.119277e-4,9.280443e-5,1.3541867e-6
0.71548,0.71538806,4.080534e-4,5.0085783e-4,1.3541867e-6
0.715,0.7158968,-4.1675568e-4,8.4102154e-5,1.3541867e-6
0.71562,0.7154055,4.0555e-4,4.8965216e-4,1.3541867e-6
0.71788,0.7160597,4.3970346e-4,9.293556e-4,1.3541867e-6
0.71873,0.7183155,4.3547153e-4,0.0013648272,1.3541867e-6
0.71917,0.7191384,4.0841103e-4,0.0017732382,1.3541867e-6
0.71916,0.71958023,-4.1025877e-4,0.0013629794,1.3541867e-6
0.71936,0.7195323,3.722906e-4,0.00173527,1.3541867e-6
0.71984,0.7197295,3.694892e-4,0.0021047592,1.3541867e-6
0.71937,0.72021633,-3.7634373e-4,0.0017284155,1.3541867e-6
0.71968,0.7197697,3.9970875e-4,0.0021281242,1.1155768e-6
0.71964,0.72009665,-4.1663647e-4,0.0017114878,1.1155768e-6
0.72019,0.7200449,4.0489435e-4,0.0021163821,1.1155768e-6
0.72009,0.7206772,-4.8720837e-4,0.0016291738,1.1155768e-6
0.71999,0.7205732,-4.8321486e-4,0.0011459589,1.1155768e-6
0.71916,0.72037387,-3.838539e-4,7.62105e-4,1.1155768e-6
0.7186,0.71955776,-3.977418e-4,3.643632e-4,1.1155768e-6
0.71863,0.718992,3.9201975e-4,7.5638294e-4,1.1155768e-6
0.71911,0.719021,3.9100647e-4,0.0011473894,1.1155768e-6
0.71944,0.719521,4.1097403e-4,0.0015583634,1.1155768e-6
0.71958,0.7198525,4.1252375e-4,0.0019708872,1.1155768e-6
0.71929,0.71998733,-4.0733814e-4,0.001563549,1.1155768e-6
0.72696,0.71970624,4.1621923e-4,0.0019797683,1.1155768e-6
0.72481,0.7273286,-3.6859512e-4,0.0016111732,1.1155768e-6
0.72408,0.72521347,-4.0346384e-4,0.0012077093,1.1155768e-6
0.72417,0.7244938,4.1377544e-4,0.0016214848,1.1349164e-6
0.72532,0.7246105,4.4047832e-4,0.002061963,1.1349164e-6
0.72488,0.7257247,-4.0471554e-4,0.0016572475,1.1349164e-6
0.72537,0.7252978,4.1782856e-4,0.002075076,1.1349164e-6
0.72654,0.7258514,4.8142672e-4,0.0025565028,1.1349164e-6
0.72662,0.72694165,4.016161e-4,0.002958119,1.1349164e-6
0.72667,0.72700816,3.8814545e-4,0.0033462644,1.1349164e-6
0.72669,0.727052,3.8194656e-4,0.003728211,1.1349164e-6
0.72638,0.7270683,-3.7831068e-4,0.0033499002,1.1349164e-6
0.72692,0.7267634,3.8343668e-4,0.003733337,1.1349164e-6
0.7266,0.7273079,-3.8790703e-4,0.00334543,1.1349164e-6
0.72703,0.726985,3.849864e-4,0.0037304163,1.1349164e-6
0.727,0.7275033,-4.7332048e-4,0.0032570958,1.1349164e-6
0.72761,0.72738415,3.8415194e-4,0.0036412477,1.1349164e-6
0.72753,0.728082,-4.7200918e-4,0.0031692386,1.1349164e-6
0.72745,0.72800976,-4.797578e-4,0.0026894808,1.1349164e-6
0.72751,0.72793436,4.8434734e-4,0.0031738281,1.1349164e-6
0.72896,0.72799337,4.8339367e-4,0.0036572218,1.1349164e-6
0.72815,0.72939074,-4.3076277e-4,0.003226459,1.1349164e-6
0.72714,0.7285801,-4.3010712e-4,0.002796352,1.1349164e-6
0.72626,0.7276216,-4.8160553e-4,0.0023147464,1.1349164e-6
0.72642,0.7266535,3.9350986e-4,0.0027082562,1.1349164e-6
0.72676,0.7268078,3.8778782e-4,0.003096044,1.1349164e-6
0.72696,0.7271538,3.9374828e-4,0.0034897923,1.1349164e-6
0.72704,0.727363,4.02987e-4,0.0038927794,1.1349164e-6
0.72713,0.72748435,4.4435263e-4,0.004337132,1.1349164e-6
0.72619,0.72755224,-4.222393e-4,0.0039148927,1.1349164e-6
0.72429,0.72659665,-4.066825e-4,0.0035082102,1.1349164e-6
0.7247,0.7246669,3.7688017e-4,0.0038850904,1.1349164e-6
0.72401,0.72508043,-3.8045645e-4,0.003504634,1.1349164e-6
0.7239,0.7244238,-4.1383505e-4,0.0030907989,1.1349164e-6
0.72377,0.7243649,-4.6485662e-4,0.0026259422,1.1349164e-6
0.72421,0.72420293,4.3290854e-4,0.0030588508,1.1349164e-6
0.72486,0.72467923,4.6920776e-4,0.0035280585,1.1349164e-6
0.72476,0.7253101,-4.5007467e-4,0.0030779839,1.1349164e-6
0.72557,0.72521627,4.5627356e-4,0.0035342574,1.1349164e-6
0.72606,0.72602844,4.5841932e-4,0.0039926767,1.1349164e-6
0.72591,0.72652066,-4.606843e-4,0.0035319924,1.1349164e-6
