real,sim,profits,acc-profits,error
0.86874,0.86877185,0,0,7.24786e-5
0.86917,0.86877185,3.182888e-5,3.182888e-5,7.24786e-5
0.86916,0.86919165,-2.1636486e-5,1.0192394e-5,2.323717e-5
0.86905,0.8691857,-2.5689602e-5,-1.5497208e-5,8.19415e-6
0.86915,0.86907744,2.7418137e-5,1.1920929e-5,3.0556816e-6
0.86912,0.8691853,-3.5345554e-5,-2.3424625e-5,3.0556816e-6
0.8703,0.8691602,4.017353e-5,1.6748905e-5,3.0556816e-6
0.86894,0.8703305,-3.0517578e-5,-1.3768673e-5,3.0556816e-6
0.86885,0.8689872,-4.720688e-5,-6.097555e-5,3.0556816e-6
0.86894,0.86891145,6.145239e-5,4.7683716e-7,3.0556816e-6
0.86882,0.86900026,-6.0260296e-5,-5.978346e-5,3.0556816e-6
0.86797,0.8688813,-6.1273575e-5,-1.2105703e-4,3.0556816e-6
0.86608,0.8680466,-7.659197e-5,-1.97649e-4,3.0556816e-6
0.86709,0.86616284,8.2850456e-5,-1.14798546e-4,3.0556816e-6
0.86818,0.8671639,7.390976e-5,-4.0888786e-5,3.0556816e-6
0.86903,0.8682395,5.954504e-5,1.8656254e-5,3.0556816e-6
0.86983,0.86906606,3.606081e-5,5.4717064e-5,3.0556816e-6
0.86905,0.86986774,-3.772974e-5,1.6987324e-5,3.0556816e-6
0.87234,0.86908543,3.540516e-5,5.2392483e-5,3.0556816e-6
0.87417,0.8724228,8.279085e-5,1.3518333e-4,3.0556816e-6
0.87453,0.87425154,8.1539154e-5,2.1672249e-4,3.0556816e-6
0.87417,0.8746018,-7.176399e-5,1.449585e-4,3.0556816e-6
0.87415,0.87422365,-5.364418e-5,9.1314316e-5,3.0556816e-6
0.87363,0.87421364,-6.365776e-5,2.7656555e-5,3.0556816e-6
0.87356,0.8736627,-3.272295e-5,-5.066395e-6,3.0556816e-6
0.87359,0.8736075,4.7504902e-5,4.2438507e-5,3.0556816e-6
0.87402,0.8736595,6.9499016e-5,1.1193752e-4,9.4010045e-7
0.87403,0.8740448,2.4795532e-5,1.3673306e-4,9.4010045e-7
0.87382,0.8740677,-3.772974e-5,9.9003315e-5,9.4010045e-7
0.87413,0.87389433,7.432699e-5,1.733303e-4,9.4010045e-7
0.87431,0.87416434,3.4332275e-5,2.0766258e-4,9.4010045e-7
0.87175,0.8743518,-4.1782856e-5,1.6587973e-4,9.4010045e-7
0.87183,0.8717842,3.4213066e-5,2.0009279e-4,9.4010045e-7
0.87256,0.87188125,5.1259995e-5,2.513528e-4,9.4010045e-7
0.87251,0.87260675,-4.673004e-5,2.0462275e-4,9.4010045e-7
0.873,0.8725722,6.2167645e-5,2.667904e-4,9.4010045e-7
0.87351,0.8730662,6.6161156e-5,3.3295155e-4,9.4010045e-7
0.87299,0.8735772,-6.7174435e-5,2.657771e-4,9.4010045e-7
0.8739,0.8730584,6.836653e-5,3.3414364e-4,9.4010045e-7
0.87401,0.8739628,6.2823296e-5,3.9696693e-4,9.4010045e-7
0.87413,0.8740459,3.5881996e-5,4.3284893e-4,9.4010045e-7
0.87365,0.8741752,-4.518032e-5,3.876686e-4,9.4010045e-7
0.87604,0.87370366,5.364418e-5,4.413128e-4,9.4010045e-7
0.87606,0.87606394,2.3961067e-5,4.6527386e-4,9.4010045e-7
0.87514,0.8761196,-5.9604645e-5,4.056692e-4,9.4010045e-7
0.87532,0.8751729,3.2901764e-5,4.3857098e-4,9.4010045e-7
0.87556,0.8753509,3.0875206e-5,4.6944618e-4,9.4010045e-7
0.87626,0.87558836,2.8371811e-5,4.97818e-4,9.4010045e-7
0.87601,0.8762805,-2.0503998e-5,4.77314e-4,9.4010045e-7
0.87611,0.8760298,1.9788742e-5,4.9710274e-4,9.4010045e-7
0.87575,0.87612903,-1.9013882e-5,4.7808886e-4,9.4010045e-7
0.87623,0.87579197,4.196167e-5,5.200505e-4,9.4010045e-7
0.87629,0.8762483,1.8298626e-5,5.3834915e-4,9.4010045e-7
0.87585,0.8763118,-2.1755695e-5,5.1659346e-4,9.4010045e-7
0.87516,0.87590253,-5.2511692e-5,4.6408176e-4,9.4010045e-7
0.87538,0.8752121,5.209446e-5,5.161762e-4,9.4010045e-7
0.87509,0.87544227,-6.2286854e-5,4.5388937e-4,9.4010045e-7
0.87365,0.87514967,-5.966425e-5,3.9422512e-4,9.4010045e-7
0.87478,0.87373,7.998943e-5,4.7421455e-4,9.4010045e-7
0.8755,0.874839,5.90086e-5,5.3322315e-4,9.4010045e-7
0.87616,0.875573,7.2956085e-5,6.0617924e-4,9.4010045e-7
0.87555,0.876179,-1.8954277e-5,5.8722496e-4,9.4010045e-7
0.87233,0.8756163,-6.633997e-5,5.20885e-4,9.4010045e-7
