real,sim,profits,acc-profits,error
1.14245,1.1426343,0,0,5.1124625e-6
1.14303,1.1426343,1.8429756e-4,1.8429756e-4,5.1124625e-6
1.14291,1.1427357,2.9432774e-4,4.786253e-4,3.5206388e-6
1.14306,1.1430576,1.475811e-4,6.262064e-4,3.5206388e-6
1.14325,1.1427636,-2.963543e-4,3.298521e-4,3.5206388e-6
1.14342,1.1429353,-3.1471252e-4,1.513958e-5,3.5206388e-6
1.14341,1.1430882,3.3175945e-4,3.4689903e-4,3.5206388e-6
1.14406,1.1430115,-3.9851665e-4,-5.1617622e-5,3.5206388e-6
1.14412,1.1438582,-2.0182133e-4,-2.5343895e-4,3.5206388e-6
1.14396,1.1438887,2.3126602e-4,-2.2172928e-5,3.5206388e-6
1.14351,1.1436813,2.7871132e-4,2.565384e-4,3.5206388e-6
1.14239,1.1432599,2.501011e-4,5.066395e-4,3.5206388e-6
1.14256,1.1423633,-2.670288e-5,4.799366e-4,3.5206388e-6
1.14248,1.1426321,-7.212162e-5,4.0781498e-4,3.5206388e-6
1.14155,1.1425533,-7.331371e-5,3.3450127e-4,3.5206388e-6
1.14236,1.1415219,-2.8014183e-5,3.0648708e-4,3.5206388e-6
1.14274,1.1423465,-1.347065e-5,2.9301643e-4,3.5206388e-6
1.14229,1.1426941,4.5895576e-5,3.38912e-4,1.696309e-6
1.1428,1.1422753,-1.4662743e-5,3.2424927e-4,1.696309e-6
1.14327,1.1427672,-3.2782555e-5,2.914667e-4,1.696309e-6
1.14313,1.1429491,3.209114e-4,6.123781e-4,1.696309e-6
1.14337,1.142852,-2.7799606e-4,3.3438206e-4,1.696309e-6
1.14335,1.1429971,3.7288666e-4,7.072687e-4,1.696309e-6
1.14339,1.1429771,-3.7288666e-4,3.3438206e-4,1.696309e-6
1.14391,1.1430172,-3.7288666e-4,-3.85046e-5,1.696309e-6
1.14388,1.1437719,1.3816357e-4,9.9658966e-5,1.696309e-6
1.1436,1.1437418,1.3816357e-4,2.3782253e-4,1.696309e-6
1.14392,1.1431173,-4.826784e-4,-2.4485588e-4,1.696309e-6
1.1444,1.143337,-5.829334e-4,-8.277893e-4,1.696309e-6
1.1435,1.1441854,2.1457672e-4,-6.132126e-4,1.696309e-6
1.14304,1.1432573,2.4271011e-4,-3.7050247e-4,1.696309e-6
1.14318,1.1427759,-2.6404858e-4,-6.3455105e-4,1.696309e-6
1.14295,1.1428279,3.5214424e-4,-2.824068e-4,2.3075413e-6
1.14285,1.1429105,3.9577484e-5,-2.4282932e-4,2.3075413e-6
1.14333,1.1428183,-3.170967e-5,-2.74539e-4,2.3075413e-6
1.143,1.1429528,3.771782e-4,1.026392e-4,2.3075413e-6
1.14249,1.1426557,3.4427643e-4,4.4691563e-4,1.3592784e-6
1.14132,1.1424583,3.170967e-5,4.786253e-4,1.2955276e-6
1.14242,1.1413068,-1.3232231e-5,4.6539307e-4,1.2955276e-6
1.14167,1.1423781,4.196167e-5,5.0735474e-4,1.2955276e-6
1.14186,1.1416787,8.702278e-6,5.16057e-4,1.2955276e-6
1.14171,1.1418622,-2.1457672e-6,5.1391125e-4,1.2955276e-6
1.14916,1.141708,-2.026558e-6,5.118847e-4,1.2955276e-6
1.148,1.1485478,6.122589e-4,0.0011241436,1.2955276e-6
1.14788,1.1480876,-8.761883e-5,0.0010365248,1.2955276e-6
1.14803,1.147095,-7.849932e-4,2.515316e-4,1.2955276e-6
1.14846,1.1477237,-3.0636787e-4,-5.4836273e-5,1.2955276e-6
1.14872,1.1479914,-4.6861172e-4,-5.23448e-4,1.2955276e-6
1.14927,1.1484227,-2.9730797e-4,-8.2075596e-4,1.2955276e-6
1.15027,1.1489365,-3.335476e-4,-0.0011543036,1.2955276e-6
1.15012,1.1499944,2.7561188e-4,-8.786917e-4,1.2955276e-6
1.1502,1.1497777,-3.4236908e-4,-0.0012210608,1.2955276e-6
1.15043,1.1497782,-4.2176247e-4,-0.0016428232,1.2955276e-6
1.14997,1.14985,5.799532e-4,-0.00106287,9.874051e-7
1.14956,1.1497672,2.0289421e-4,-8.599758e-4,9.874051e-7
1.14912,1.149409,1.5091896e-4,-7.0905685e-4,9.874051e-7
1.14836,1.1489952,1.2481213e-4,-5.842447e-4,9.874051e-7
1.14762,1.1480923,2.6774406e-4,-3.1650066e-4,9.874051e-7
1.14866,1.1476427,2.2768974e-5,-2.937317e-4,9.874051e-7
1.14921,1.1483893,-2.706051e-4,-5.643368e-4,9.874051e-7
1.14939,1.1491878,-2.2172928e-5,-5.865097e-4,9.612373e-7
1.14768,1.1493981,-8.106232e-6,-5.9461594e-4,9.612373e-7
1.14746,1.147691,-1.0967255e-5,-6.055832e-4,9.612373e-7
1.14528,1.147439,2.0980835e-5,-5.8460236e-4,9.612373e-7
1.14494,1.1453617,-8.165836e-5,-6.662607e-4,9.612373e-7
1.14435,1.1449744,-3.4332275e-5,-7.00593e-4,9.612373e-7
1.14434,1.1442795,7.05719e-5,-6.300211e-4,9.612373e-7
1.14444,1.1439831,-3.569126e-4,-9.869337e-4,9.612373e-7
1.14462,1.1439319,-5.081892e-4,-0.0014951229,9.612373e-7
1.14452,1.1442994,3.2055378e-4,-0.0011745691,9.612373e-7
1.14476,1.1441361,-3.8397312e-4,-0.0015585423,9.612373e-7
1.14476,1.1444731,2.8693676e-4,-0.0012716055,9.612373e-7
1.1442,1.1444275,3.324747e-4,-9.391308e-4,9.612373e-7
1.1442,1.1438584,3.4153461e-4,-5.9759617e-4,9.612373e-7
1.14414,1.1438184,3.8158894e-4,-2.1600723e-4,9.612373e-7
1.14415,1.1437261,-4.1389465e-4,-6.299019e-4,9.612373e-7
1.1436,1.1437119,4.3809414e-4,-1.9180775e-4,9.612373e-7
1.14416,1.1435583,-4.172325e-5,-2.33531e-4,9.612373e-7
1.14472,1.1437149,-4.451275e-4,-6.786585e-4,9.612373e-7
1.14478,1.1444058,-3.1411648e-4,-9.92775e-4,9.612373e-7
1.14658,1.1444358,-3.4427643e-4,-0.0013370514,9.612373e-7
1.14667,1.1464324,-1.475811e-4,-0.0014846325,9.612373e-7
1.14691,1.1464298,-2.4020672e-4,-0.0017248392,9.612373e-7
1.14681,1.1468998,1.013279e-5,-0.0017147064,9.612373e-7
1.14732,1.1468027,-7.390976e-6,-0.0017220974,9.612373e-7
1.14754,1.1469857,-3.3438206e-4,-0.0020564795,9.612373e-7
1.1468,1.1471419,3.9803982e-4,-0.0016584396,9.612373e-7
1.14724,1.1468416,4.1604042e-5,-0.0016168356,9.612373e-7
1.14681,1.146814,4.26054e-4,-0.0011907816,9.612373e-7
1.14596,1.1468226,-1.2516975e-5,-0.0012032986,9.612373e-7
1.14591,1.1458958,6.41346e-5,-0.001139164,9.612373e-7
1.1459,1.1458032,1.0681152e-4,-0.0010323524,9.612373e-7
1.14513,1.1457821,1.1789799e-4,-9.1445446e-4,9.612373e-7
1.14519,1.1449933,-1.3673306e-4,-0.0010511875,9.612373e-7
1.1454,1.1450218,-1.6820431e-4,-0.0012193918,9.612373e-7
1.1455,1.145258,-1.4209747e-4,-0.0013614893,9.612373e-7
1.14576,1.1453986,-1.01327896e-4,-0.0014628172,9.612373e-7
1.14529,1.1459159,-1.5580654e-4,-0.0016186237,9.612373e-7
1.14478,1.1454581,-1.680851e-4,-0.0017867088,9.612373e-7
1.14419,1.144888,-1.08003616e-4,-0.0018947124,9.612373e-7
