real,sim,profits,acc-profits,error
1.31493,1.3145556,0,0,2.1205194e-6
1.31488,1.3145556,3.7431717e-4,3.7431717e-4,2.1205194e-6
1.31485,1.3145891,2.9087067e-4,6.6518784e-4,2.1205194e-6
1.3152,1.3145646,-2.8538704e-4,3.798008e-4,2.1205194e-6
1.31525,1.3148223,-3.7765503e-4,2.1457672e-6,2.1205194e-6
1.31543,1.3148959,-3.541708e-4,-3.5202503e-4,2.1205194e-6
1.31375,1.3150865,3.4356117e-4,-8.46386e-6,2.1205194e-6
1.31644,1.3132288,-5.21183e-4,-5.296469e-4,2.1205194e-6
1.31664,1.3157868,-6.531477e-4,-0.0011827946,2.1205194e-6
1.3164,1.3160344,6.055832e-4,-5.772114e-4,2.1205194e-6
1.31598,1.3158035,5.965233e-4,1.9311905e-5,2.1205194e-6
1.31603,1.3156595,-3.2043457e-4,-3.0112267e-4,2.1205194e-6
1.31904,1.3154831,-5.469322e-4,-8.480549e-4,2.1205194e-6
1.31735,1.3183234,7.1656704e-4,-1.3148785e-4,2.1205194e-6
1.31471,1.3167423,6.0772896e-4,4.762411e-4,2.1205194e-6
1.31442,1.3143197,3.902912e-4,8.665323e-4,2.1205194e-6
1.31357,1.3140221,3.979206e-4,0.0012644529,2.1205194e-6
1.31418,1.3131926,-3.774166e-4,8.870363e-4,2.1205194e-6
1.30981,1.3137709,4.0912628e-4,0.0012961626,2.1205194e-6
1.30762,1.3092424,5.6767464e-4,0.0018638372,2.1205194e-6
1.30645,1.3072346,3.8540363e-4,0.0022492409,2.1205194e-6
1.30755,1.3060236,-4.2641163e-4,0.0018228292,2.1205194e-6
1.30786,1.3071647,-3.8528442e-4,0.0014375448,2.0797938e-6
1.30873,1.307525,-3.349781e-4,0.0011025667,2.0797938e-6
1.30934,1.3083614,-3.6859512e-4,7.339716e-4,2.0797938e-6
1.30924,1.3089367,4.0328503e-4,0.0011372566,2.0797938e-6
1.30838,1.3089346,3.054142e-4,0.0014426708,2.0797938e-6
1.30868,1.3079453,-4.3475628e-4,0.0010079145,2.0797938e-6
1.30948,1.3082588,-4.2128563e-4,5.866289e-4,2.0797938e-6
1.30793,1.3091948,2.8514862e-4,8.7177753e-4,2.0797938e-6
1.30715,1.3075565,3.734827e-4,0.0012452602,2.0797938e-6
1.31119,1.3067695,-3.8051605e-4,8.647442e-4,2.0797938e-6
1.31071,1.3105339,6.5612793e-4,0.0015208721,2.0797938e-6
1.30966,1.3102205,4.8947334e-4,0.0020103455,2.0797938e-6
1.31015,1.3093625,-2.9742718e-4,0.0017129183,2.0797938e-6
1.30924,1.309671,4.7898293e-4,0.0021919012,2.0797938e-6
1.30775,1.3089526,2.874136e-4,0.0024793148,2.0797938e-6
1.30727,1.3074633,2.8669834e-4,0.0027660131,2.0797938e-6
1.30715,1.3069725,2.975464e-4,0.0030635595,2.0797938e-6
1.30614,1.3068578,2.9218197e-4,0.0033557415,2.0797938e-6
1.30614,1.3057054,4.3451786e-4,0.0037902594,2.0797938e-6
1.30594,1.3058141,3.25799e-4,0.0041160583,2.0797938e-6
1.31158,1.3056575,-2.8252602e-4,0.0038335323,2.0797938e-6
1.31026,1.3108894,6.905794e-4,0.0045241117,2.0797938e-6
1.31118,1.3097149,-5.451441e-4,0.0039789677,2.0797938e-6
1.31084,1.3106154,5.645752e-4,0.004543543,2.0797938e-6
1.31149,1.3104972,-3.4284592e-4,0.004200697,2.581338e-6
1.31072,1.3109597,5.3036213e-4,0.004731059,2.2799675e-6
1.31177,1.310384,-3.3593178e-4,0.0043951273,2.2799675e-6
1.31276,1.3112562,-5.1379204e-4,0.0038813353,2.2799675e-6
1.31315,1.312467,-2.9301643e-4,0.0035883188,2.2799675e-6
1.31252,1.3128046,3.4546852e-4,0.0039337873,2.2799675e-6
1.31265,1.3122306,-2.8944016e-4,0.0036443472,2.2799675e-6
1.31281,1.3123624,-2.875328e-4,0.0033568144,2.2799675e-6
1.31342,1.3125381,-2.7179718e-4,0.0030850172,2.2799675e-6
1.31251,1.3130734,3.466606e-4,0.0034316778,2.1490182e-6
1.31168,1.3122274,2.8264523e-4,0.003714323,2.1154776e-6
