real,sim,profits,acc-profits,error
1.32661,1.3289461,0,0,3.7353762e-5
1.32642,1.3289461,-0.0023361444,-0.0023361444,1.8649192e-5
1.32604,1.3287611,-0.0023411512,-0.0046772957,1.8191971e-5
1.32527,1.3283939,-0.0023539066,-0.0070312023,1.8191971e-5
1.32516,1.3275576,-0.002287507,-0.009318709,1.5392789e-5
1.325,1.3274465,-0.0022864342,-0.011605144,1.5392789e-5
1.32634,1.3272849,0.0022848845,-0.009320259,1.5392789e-5
1.32615,1.3286955,-0.0023555756,-0.011675835,1.5392789e-5
1.32538,1.3285184,-0.0023684502,-0.014044285,1.5392789e-5
1.32595,1.3276678,0.0022878647,-0.01175642,1.5392789e-5
1.32508,1.3282353,-0.002285242,-0.014041662,1.5392789e-5
1.32598,1.3273638,0.0022838116,-0.011757851,1.5392789e-5
1.32537,1.3282554,-0.002275467,-0.014033318,1.5392789e-5
1.32535,1.3276454,-0.002275467,-0.016308784,1.5392789e-5
1.32718,1.3276266,0.0022765398,-0.014032245,1.5392789e-5
1.32635,1.3294945,-0.0023144484,-0.016346693,1.5392789e-5
1.32687,1.3286704,0.0023204088,-0.014026284,1.5392789e-5
1.32707,1.3291702,0.0023002625,-0.011726022,1.5392789e-5
1.32834,1.3293732,0.0023032427,-0.009422779,1.5392789e-5
1.32794,1.3306192,-0.0022791624,-0.0117019415,1.5392789e-5
1.32675,1.3302325,-0.0022925138,-0.013994455,1.5392789e-5
1.32696,1.3290262,0.0022761822,-0.011718273,1.5392789e-5
1.32709,1.3292382,0.0022782087,-0.009440064,1.5392789e-5
1.32717,1.3294027,0.0023126602,-0.007127404,1.5392789e-5
1.32669,1.3294861,-0.0023161173,-0.0094435215,1.5392789e-5
1.32613,1.3289732,-0.0022832155,-0.011726737,1.5392789e-5
1.32612,1.328411,-0.0022809505,-0.014007688,1.5392789e-5
1.32554,1.3284022,-0.0022821426,-0.01628983,1.5392789e-5
1.32498,1.3278197,-0.0022797585,-0.018569589,1.5392789e-5
1.3254,1.3272537,0.0022736788,-0.01629591,1.5392789e-5
1.32513,1.327686,-0.0022859573,-0.018581867,1.5392789e-5
1.3246,1.3274121,-0.0022821426,-0.02086401,1.5392789e-5
1.32407,1.326874,-0.0022740364,-0.023138046,1.5392789e-5
1.32319,1.3263397,-0.0022697449,-0.025407791,1.5392789e-5
1.32272,1.3254637,-0.0022736788,-0.02768147,1.5392789e-5
1.32262,1.3249927,-0.002272606,-0.029954076,1.5392789e-5
1.32166,1.3248961,-0.002276063,-0.03223014,1.5392789e-5
1.32097,1.3239394,-0.0022794008,-0.03450954,1.5392789e-5
1.32008,1.3232315,-0.0022614002,-0.03677094,1.5392789e-5
1.31893,1.3223304,-0.0022503138,-0.039021254,1.5392789e-5
1.31994,1.3212241,0.0022940636,-0.03672719,1.5392789e-5
1.32057,1.3222094,0.0022693872,-0.034457803,1.5392789e-5
1.31258,1.3228407,-0.0022706985,-0.0367285,1.5392789e-5
1.31474,1.3150474,0.0024673939,-0.034261107,1.5392789e-5
1.31483,1.3071077,-0.0076322556,-0.041893363,1.5392789e-5
1.31508,1.3171152,0.002285242,-0.03960812,1.5392789e-5
1.31427,1.3175795,-0.0024994612,-0.042107582,1.5392789e-5
1.31433,1.3165624,0.0022923946,-0.039815187,1.5392789e-5
1.31384,1.316621,-0.0022909641,-0.04210615,8.013732e-6
1.31336,1.3161117,-0.0022716522,-0.044377804,8.013732e-6
1.31309,1.3156347,-0.0022747517,-0.046652555,8.013732e-6
1.31312,1.3153613,0.0022712946,-0.04438126,8.013732e-6
1.31259,1.3153963,-0.0022763014,-0.046657562,8.013732e-6
1.31316,1.3148705,0.0022804737,-0.04437709,8.013732e-6
1.31247,1.3154373,-0.0022773743,-0.046654463,8.013732e-6
1.31365,1.3147501,0.002280116,-0.044374347,8.013732e-6
1.31351,1.3159275,-0.0022774935,-0.04665184,8.013732e-6
1.31385,1.3157916,0.0022816658,-0.044370174,8.013732e-6
1.31332,1.3161311,-0.0022810698,-0.046651244,8.013732e-6
1.31448,1.3156024,0.002282381,-0.044368863,8.013732e-6
1.31489,1.3167604,0.0022804737,-0.04208839,8.013732e-6
1.31523,1.317167,0.0022770166,-0.039811373,8.013732e-6
1.31341,1.3176227,-0.0023926497,-0.042204022,8.013732e-6
1.31402,1.3156894,0.0022794008,-0.03992462,8.013732e-6
1.31453,1.3162947,0.0022746325,-0.03764999,8.013732e-6
1.3146,1.3168081,0.0022780895,-0.0353719,8.013732e-6
1.31295,1.3168799,-0.0022798777,-0.037651777,8.013732e-6
1.31377,1.3152343,0.0022842884,-0.03536749,8.013732e-6
1.31233,1.316051,-0.0022809505,-0.03764844,8.013732e-6
1.31282,1.3146157,0.002285719,-0.03536272,8.013732e-6
1.31261,1.3151039,-0.0022839308,-0.03764665,8.013732e-6
1.31271,1.3148979,0.0022878647,-0.035358787,8.013732e-6
1.31416,1.314997,0.002286911,-0.033071876,8.013732e-6
1.31423,1.3164351,0.0022751093,-0.030796766,8.013732e-6
1.31447,1.3165092,0.0022792816,-0.028517485,8.013732e-6
1.31476,1.3167584,0.0022883415,-0.026229143,8.013732e-6
1.31522,1.3170482,0.0022882223,-0.02394092,8.018596e-6
1.31508,1.3175795,-0.0023595095,-0.02630043,8.018596e-6
1.31443,1.3174523,-0.0023722649,-0.028672695,8.018596e-6
1.31495,1.3167162,0.0022861958,-0.0263865,8.018596e-6
1.31439,1.3172358,-0.0022858381,-0.028672338,8.018596e-6
1.31435,1.3166766,-0.0022866726,-0.03095901,8.018596e-6
1.31389,1.3166363,-0.002286315,-0.033245325,8.018596e-6
1.31348,1.3161607,-0.0022706985,-0.035516024,8.018596e-6
1.31147,1.3157525,-0.0022724867,-0.03778851,8.018596e-6
1.31163,1.3137697,0.0022996664,-0.035488844,7.774218e-6
1.30988,1.3139148,-0.0022847652,-0.03777361,7.774218e-6
1.30964,1.3121802,-0.0023001432,-0.040073752,7.774218e-6
1.3081,1.3121421,-0.0025020838,-0.042575836,7.774218e-6
1.30757,1.3103703,-0.002270341,-0.044846177,7.774218e-6
1.30886,1.3098651,0.0022951365,-0.04255104,7.774218e-6
1.30857,1.3111258,-0.002265811,-0.04481685,7.774218e-6
1.30957,1.3108429,0.0022728443,-0.042544007,7.774218e-6
1.30877,1.3118716,-0.002301693,-0.0448457,7.774218e-6
1.30993,1.3110492,0.0022792816,-0.04256642,7.774218e-6
1.30935,1.3122178,-0.0022878647,-0.044854283,7.774218e-6
1.3096,1.3116401,0.0022901297,-0.042564154,7.774218e-6
1.30888,1.3118976,-0.0022976398,-0.044861794,7.774218e-6
1.30957,1.3111627,0.0022827387,-0.042579055,7.774218e-6
1.31026,1.3118607,0.0022907257,-0.04028833,7.774218e-6
